Gene_name,Pathway,E18_Vs_LU3,E18_Vs_LU4,LI1_Vs_LU3,LI1_Vs_LU4,LI2_Vs_LU3,LI2_Vs_LU4,LI3_Vs_LU3,LI3_Vs_LU4,cLTMR1,cLTMR2,NF1,NF2,NF3,NP,PEP1,PEP2,SST,Z.2days,Z.4days,Z.7days,Z.12days,NRGcs_2d,T5RGCs_2d,TRGCs_2d,Cartpt_2d,Alpha_RGCS_7D,Cartpt_RGCS_7D,F_RGCS_7d,T_RGCS_7d,ipRGCs_7D,T5_RGCS_7d
Bhlhe22,axon development,1.695348597,1.704575545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.288197574,0,0,0,0,0,0,0,0,0
Bhlhe22,nervous system development,1.695348597,1.704575545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.288197574,0,0,0,0,0,0,0,0,0
Bhlhe22,axonogenesis,1.695348597,1.704575545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.288197574,0,0,0,0,0,0,0,0,0
Bhlhe22,neuron projection development,1.695348597,1.704575545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.288197574,0,0,0,0,0,0,0,0,0
Bhlhe22,neuron differentiation,1.695348597,1.704575545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.288197574,0,0,0,0,0,0,0,0,0
Bhlhe22,neuron development,1.695348597,1.704575545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.288197574,0,0,0,0,0,0,0,0,0
Bhlhe22,generation of neurons,1.695348597,1.704575545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.288197574,0,0,0,0,0,0,0,0,0
Bhlhe22,central nervous system neuron differentiation,1.695348597,1.704575545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.288197574,0,0,0,0,0,0,0,0,0
Chl1,neurogenesis,2.33356981,2.212457665,0,0,0,0,0,0,1.408878162,1.749384632,1.330428075,2.113034916,1.614840424,2.753644696,1.146427215,3.030313988,1.398050151,,,,,0,0,0,0,0,0,0,0,0,0
Chl1,nervous system development,2.33356981,2.212457665,0,0,0,0,0,0,1.408878162,1.749384632,1.330428075,2.113034916,1.614840424,2.753644696,1.146427215,3.030313988,1.398050151,,,,,0,0,0,0,0,0,0,0,0,0
Chl1,neuron development,2.33356981,2.212457665,0,0,0,0,0,0,1.408878162,1.749384632,1.330428075,2.113034916,1.614840424,2.753644696,1.146427215,3.030313988,1.398050151,,,,,0,0,0,0,0,0,0,0,0,0
Chl1,neuron differentiation,2.33356981,2.212457665,0,0,0,0,0,0,1.408878162,1.749384632,1.330428075,2.113034916,1.614840424,2.753644696,1.146427215,3.030313988,1.398050151,,,,,0,0,0,0,0,0,0,0,0,0
